U.S. Energy Information Administration,,,,,,,,,,,
October 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: October 28, 2014",,,,,,,,,,,
"Next Update: November 25, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 9.10 Natural Gas Prices,,,,,,,,,,,
,,,,,,,,,,,
Month,"Natural Gas Price, Wellhead","Natural Gas Price, City Gate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
29707,1.95,Not Available,4.29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.92,Not Available
29738,1.95,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
29768,2.01,Not Available,4.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97,Not Available
29799,2.02,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.99,Not Available
29830,2.08,Not Available,4.47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
29860,2.11,Not Available,4.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
29891,2.15,Not Available,4.53,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
29921,2.16,Not Available,4.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97,Not Available
29952,2.23,Not Available,4.65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
29983,2.3,Not Available,4.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.18,Not Available
30011,2.35,Not Available,4.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.25,Not Available
30042,2.4,Not Available,4.86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.32,Not Available
30072,2.45,Not Available,5.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.42,Not Available
30103,2.45,Not Available,5.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.57,Not Available
30133,2.47,Not Available,5.23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.69,Not Available
30164,2.53,Not Available,5.23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.67,Not Available
30195,2.56,Not Available,5.41,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.67,Not Available
30225,2.6,Not Available,5.66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.68,Not Available
30256,2.62,Not Available,5.68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.61,Not Available
30286,2.62,Not Available,5.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.64,Not Available
30317,2.66,Not Available,5.86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.57,Not Available
30348,2.66,Not Available,5.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.41,Not Available
30376,2.58,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.45,Not Available
30407,2.53,Not Available,6.06,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.35,Not Available
30437,2.53,Not Available,6.22,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.55,Not Available
30468,2.59,Not Available,6.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.58,Not Available
30498,2.52,Not Available,6.21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.72,Not Available
30529,2.58,Not Available,6.18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.75,Not Available
30560,2.67,Not Available,6.19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7,Not Available
30590,2.58,3.97,6.7,Not Available,5.62,Not Available,Not Available,Not Available,Not Available,3.62,Not Available
30621,2.6,3.91,6.3,Not Available,5.67,Not Available,Not Available,Not Available,Not Available,3.54,Not Available
30651,2.61,3.88,5.94,Not Available,5.62,Not Available,Not Available,Not Available,Not Available,3.49,Not Available
30682,2.67,3.94,5.78,Not Available,5.49,Not Available,4.31,Not Available,Not Available,3.49,Not Available
30713,2.71,4.02,5.84,Not Available,5.54,Not Available,4.29,Not Available,Not Available,3.55,Not Available
30742,2.67,3.91,5.92,Not Available,5.57,Not Available,4.29,Not Available,Not Available,3.47,Not Available
30773,2.64,3.96,5.96,Not Available,5.52,Not Available,4.19,Not Available,Not Available,3.53,Not Available
30803,2.67,3.98,6.27,Not Available,5.6,Not Available,4.21,Not Available,Not Available,3.72,Not Available
30834,2.7,4.02,6.76,Not Available,5.67,Not Available,4.11,Not Available,Not Available,3.73,Not Available
30864,2.68,4.06,7.11,Not Available,5.6,Not Available,4.14,Not Available,Not Available,3.86,Not Available
30895,2.69,3.69,7.23,Not Available,5.47,Not Available,4.15,Not Available,Not Available,3.8,Not Available
30926,2.62,4.02,7.17,Not Available,5.53,Not Available,4.24,Not Available,Not Available,3.8,Not Available
30956,2.63,3.99,6.8,Not Available,5.54,Not Available,4.17,Not Available,Not Available,3.72,Not Available
30987,2.61,3.92,6.31,Not Available,5.56,Not Available,4.21,Not Available,Not Available,3.72,Not Available
31017,2.57,3.97,6.05,Not Available,5.6,Not Available,4.25,Not Available,Not Available,3.69,Not Available
31048,2.64,3.89,5.97,Not Available,5.62,Not Available,4.22,Not Available,Not Available,3.74,Not Available
31079,2.71,3.94,5.86,Not Available,5.53,Not Available,4.26,Not Available,Not Available,3.68,Not Available
31107,2.62,3.97,5.99,Not Available,5.59,Not Available,4.16,Not Available,Not Available,3.74,Not Available
31138,2.64,3.91,6.11,Not Available,5.65,Not Available,4.01,Not Available,Not Available,3.72,Not Available
31168,2.53,3.89,6.59,Not Available,5.59,Not Available,3.88,Not Available,Not Available,3.57,Not Available
31199,2.58,3.86,6.96,Not Available,5.65,Not Available,3.78,Not Available,Not Available,3.56,Not Available
31229,2.51,3.69,7.07,Not Available,5.44,Not Available,3.92,Not Available,Not Available,3.56,Not Available
31260,2.47,3.7,7.21,Not Available,5.42,Not Available,3.94,Not Available,Not Available,3.46,Not Available
31291,2.42,3.68,7.06,Not Available,5.37,Not Available,3.84,Not Available,Not Available,3.4,Not Available
31321,2.37,3.59,6.5,Not Available,5.3,Not Available,3.78,Not Available,Not Available,3.37,Not Available
31352,2.36,3.46,6.13,Not Available,5.39,Not Available,3.84,Not Available,Not Available,3.38,Not Available
31382,2.28,3.45,5.7,Not Available,5.25,Not Available,3.7,Not Available,Not Available,3.29,Not Available
31413,2.28,3.52,5.63,Not Available,5.25,Not Available,3.77,Not Available,Not Available,3.2,Not Available
31444,2.26,3.52,5.67,Not Available,5.28,Not Available,3.77,Not Available,Not Available,2.85,Not Available
31472,2.16,3.5,5.71,Not Available,5.25,Not Available,3.53,Not Available,Not Available,2.6,Not Available
31503,2.1,3.33,5.89,Not Available,5.23,Not Available,3.35,Not Available,Not Available,2.44,Not Available
31533,1.96,3.15,6.18,Not Available,5.19,Not Available,3.11,Not Available,Not Available,2.41,Not Available
31564,1.85,3.11,6.67,Not Available,5.09,Not Available,3.05,Not Available,Not Available,2.27,Not Available
31594,1.8,3.08,6.84,Not Available,5.02,Not Available,2.88,Not Available,Not Available,2.23,Not Available
31625,1.77,3.04,6.94,Not Available,4.9,Not Available,2.81,Not Available,Not Available,2.22,Not Available
31656,1.78,3.02,6.83,Not Available,4.93,Not Available,2.92,Not Available,Not Available,2.22,Not Available
31686,1.73,2.94,6.38,Not Available,4.88,Not Available,2.93,Not Available,Not Available,2.19,Not Available
31717,1.77,2.9,5.66,Not Available,4.74,Not Available,3.01,Not Available,Not Available,2.23,Not Available
31747,1.76,2.99,5.28,Not Available,4.73,Not Available,3,Not Available,Not Available,2.35,Not Available
31778,1.74,2.98,5.3,Not Available,4.8,Not Available,3.11,Not Available,Not Available,2.44,Not Available
31809,1.73,3.03,5.34,Not Available,4.79,Not Available,3.3,Not Available,Not Available,2.46,Not Available
31837,1.73,2.91,5.36,Not Available,4.8,Not Available,3.16,Not Available,Not Available,2.4,Not Available
31868,1.69,2.86,5.46,Not Available,4.9,Not Available,2.99,Not Available,Not Available,2.38,Not Available
31898,1.65,2.81,5.98,Not Available,4.88,Not Available,2.81,Not Available,Not Available,2.31,Not Available
31929,1.65,2.84,6.55,Not Available,4.87,Not Available,2.76,Not Available,Not Available,2.3,Not Available
31959,1.66,2.92,6.78,Not Available,4.78,Not Available,2.81,Not Available,Not Available,2.33,Not Available
31990,1.63,2.89,6.84,Not Available,4.77,Not Available,2.74,Not Available,Not Available,2.26,Not Available
32021,1.56,2.83,6.64,Not Available,4.6,Not Available,2.75,Not Available,Not Available,2.19,Not Available
32051,1.57,2.69,5.85,Not Available,4.62,Not Available,2.77,Not Available,Not Available,2.26,Not Available
32082,1.64,2.76,5.42,Not Available,4.66,Not Available,2.89,Not Available,Not Available,2.28,Not Available
32112,1.7,2.84,5.13,Not Available,4.67,Not Available,3.01,Not Available,Not Available,2.53,Not Available
32143,1.96,2.91,5.08,Not Available,4.6,93.8,3.18,48.8,Not Available,2.6,Not Available
32174,1.84,2.95,5.09,Not Available,4.69,93.3,3.22,47.9,Not Available,2.56,Not Available
32203,1.7,2.87,5.18,Not Available,4.69,92.5,3.13,43.3,Not Available,2.32,Not Available
32234,1.59,2.79,5.35,Not Available,4.71,91.7,2.97,42.7,Not Available,2.2,Not Available
32264,1.52,2.75,5.87,Not Available,4.61,89.4,2.76,39.2,Not Available,2.1,Not Available
32295,1.53,2.87,6.5,Not Available,4.53,87.5,2.67,37.9,Not Available,2.16,Not Available
32325,1.56,2.87,6.74,Not Available,4.48,86.3,2.54,38.8,Not Available,2.23,Not Available
32356,1.62,2.92,6.92,Not Available,4.37,87.2,2.66,38.8,Not Available,2.36,Not Available
32387,1.53,3.05,6.79,Not Available,4.41,87.6,2.7,41.2,Not Available,2.36,Not Available
32417,1.68,2.92,5.95,Not Available,4.53,87.4,2.8,43.3,Not Available,2.4,Not Available
32448,1.76,2.98,5.56,Not Available,4.69,88.7,3,42.1,Not Available,2.58,Not Available
32478,1.89,3.08,5.39,Not Available,4.78,89.7,3.31,44.4,Not Available,2.57,Not Available
32509,1.99,3.17,5.41,Not Available,4.81,91,3.37,41.1,Not Available,2.63,Not Available
32540,1.81,3.1,5.38,Not Available,4.8,91.2,3.31,39.9,Not Available,2.44,Not Available
32568,1.69,2.89,5.45,Not Available,4.79,90.8,3.1,38.2,Not Available,2.32,Not Available
32599,1.56,2.83,5.54,Not Available,4.77,89.2,2.89,36.8,Not Available,2.31,Not Available
32629,1.61,2.94,5.93,Not Available,4.64,88.2,2.78,35.9,Not Available,2.39,Not Available
32660,1.65,2.98,6.58,Not Available,4.57,86.1,2.67,37,Not Available,2.4,Not Available
32690,1.65,3.08,6.92,Not Available,4.65,85.1,2.68,34,Not Available,2.4,Not Available
32721,1.61,3.04,7.07,Not Available,4.61,85.1,2.69,32.8,Not Available,2.38,Not Available
32752,1.55,2.99,6.8,Not Available,4.67,84.6,2.66,33.8,Not Available,2.33,Not Available
32782,1.58,2.84,6.06,Not Available,4.61,85.2,2.74,37.3,Not Available,2.39,Not Available
32813,1.66,2.98,5.56,Not Available,4.71,87.7,2.96,35,Not Available,2.56,Not Available
32843,1.92,3.1,5.3,Not Available,4.81,90.7,3.31,39.6,Not Available,2.85,Not Available
32874,2.23,3.24,5.43,Not Available,4.97,90.8,3.53,43.2,Not Available,3,Not Available
32905,1.85,3.1,5.65,Not Available,5.05,88.8,3.41,38.9,Not Available,2.76,Not Available
32933,1.55,2.94,5.6,Not Available,4.92,88.3,3.08,36.8,Not Available,2.37,Not Available
32964,1.49,2.83,5.64,Not Available,4.82,86.9,2.85,33.8,Not Available,2.28,Not Available
32994,1.47,2.81,6,Not Available,4.63,85.5,2.68,32.2,Not Available,2.18,Not Available
33025,1.48,3,6.56,Not Available,4.56,83.8,2.58,31.3,Not Available,2.16,Not Available
33055,1.49,3.03,7.04,Not Available,4.45,81.8,2.5,33,Not Available,2.21,Not Available
33086,1.51,2.91,7.08,Not Available,4.55,81.7,2.52,33.4,Not Available,2.23,Not Available
33117,1.56,2.92,6.9,Not Available,4.55,80.3,2.6,32.6,Not Available,2.21,Not Available
33147,1.76,2.81,6.14,Not Available,4.66,81.2,2.69,32.8,Not Available,2.45,Not Available
33178,1.94,3.14,5.69,Not Available,4.81,84.7,3.02,35.7,Not Available,2.79,Not Available
33208,2.04,3.19,5.62,Not Available,4.92,87.9,3.25,37.8,Not Available,2.89,Not Available
33239,1.96,3.08,5.54,Not Available,4.94,89.4,3.25,36.8,Not Available,2.7,Not Available
33270,1.62,2.94,5.56,Not Available,4.94,88.5,2.97,36.4,Not Available,2.35,Not Available
33298,1.49,2.78,5.6,Not Available,4.89,87.8,2.75,36.3,Not Available,2.21,Not Available
33329,1.5,2.74,5.9,Not Available,4.87,84,2.68,33.3,Not Available,2.1,Not Available
33359,1.48,2.76,6.28,Not Available,4.65,83.2,2.4,32.4,Not Available,2.01,Not Available
33390,1.43,2.86,6.97,Not Available,4.8,80,2.34,31.3,Not Available,1.94,Not Available
33420,1.34,2.74,7.23,Not Available,4.5,79.3,2.23,29.2,Not Available,1.88,Not Available
33451,1.43,2.78,7.36,Not Available,4.73,81.6,2.29,31.9,Not Available,1.96,Not Available
33482,1.59,2.91,6.92,Not Available,4.57,78.1,2.4,29.4,Not Available,2.19,Not Available
33512,1.82,2.92,6.2,Not Available,4.58,78.7,2.69,29.2,Not Available,2.35,Not Available
33543,1.89,2.92,5.51,Not Available,4.71,85.1,2.84,32.8,Not Available,2.43,Not Available
33573,2,3.05,5.51,Not Available,4.84,86.1,3.09,32.3,Not Available,2.64,Not Available
33604,1.74,2.9,5.53,Not Available,4.85,87.1,3.04,31.8,Not Available,2.49,Not Available
33635,1.26,2.7,5.54,Not Available,5.03,85.2,2.78,31.4,Not Available,2.03,Not Available
33664,1.35,2.61,5.5,Not Available,4.77,84.7,2.58,29.9,Not Available,1.99,Not Available
33695,1.42,2.74,5.62,Not Available,4.77,84,2.54,31.3,Not Available,2.07,Not Available
33725,1.51,2.9,6.15,Not Available,4.59,79.3,2.44,29.8,Not Available,2.11,Not Available
33756,1.62,3,6.84,Not Available,4.72,79.4,2.53,28,Not Available,2.18,Not Available
33786,1.55,3.01,7.27,Not Available,4.64,76,2.54,27.4,Not Available,2.13,Not Available
33817,1.84,3.18,7.45,Not Available,4.73,76.1,2.71,28.6,Not Available,2.42,Not Available
33848,1.92,3.23,7.15,Not Available,4.69,78,2.82,29.3,Not Available,2.51,Not Available
33878,2.38,3.5,6.52,Not Available,4.9,80.9,3.21,31.4,Not Available,3.04,Not Available
33909,2.13,3.33,6.02,Not Available,5.12,83.1,3.26,30.8,Not Available,2.87,Not Available
33939,2.07,3.17,5.74,Not Available,5.11,85.6,3.38,32.5,Not Available,2.81,Not Available
33970,2.03,3.11,5.73,Not Available,5.23,86.6,3.15,32.6,Not Available,2.7,Not Available
34001,1.93,2.94,5.73,Not Available,5.14,86.3,3.02,32.9,Not Available,2.54,Not Available
34029,2,3.06,5.67,Not Available,5.1,86.4,2.98,32,Not Available,2.61,Not Available
34060,2.06,3.24,6.02,Not Available,5.19,84.9,3.04,30.7,Not Available,2.75,Not Available
34090,2.18,3.58,6.78,Not Available,5.31,82.2,3.14,29.6,Not Available,2.9,Not Available
34121,1.98,3.44,7.37,Not Available,5.4,79,2.86,27.4,Not Available,2.48,Not Available
34151,1.99,3.34,7.86,Not Available,5.15,79.2,2.62,28.3,Not Available,2.45,Not Available
34182,2.04,3.35,8.13,Not Available,5.34,78,2.76,27.6,Not Available,2.6,Not Available
34213,2.09,3.54,7.75,Not Available,5.35,78.3,2.95,27,Not Available,2.69,Not Available
34243,2.02,3.15,6.79,Not Available,5.18,79.9,2.77,28.1,Not Available,2.45,Not Available
34274,2.03,3.15,6.17,Not Available,5.21,83,3.02,29.8,Not Available,2.59,Not Available
34304,2.15,3.27,6.07,Not Available,5.33,85.1,3.28,29.5,Not Available,2.76,Not Available
34335,1.93,3.04,5.93,Not Available,5.5,83.7,3.47,27.9,Not Available,2.67,Not Available
34366,1.88,3.26,6.04,Not Available,5.58,83.9,3.43,30,Not Available,2.8,Not Available
34394,1.93,3.33,6.3,Not Available,5.67,82.8,3.47,28.6,Not Available,2.67,Not Available
34425,1.91,3.15,6.6,Not Available,5.6,78.6,3.01,26.7,Not Available,2.44,Not Available
34455,2,3.17,6.84,Not Available,5.47,74.5,2.92,25.6,Not Available,2.46,Not Available
34486,1.8,3.17,7.66,Not Available,5.37,70.5,2.69,23.3,Not Available,2.25,Not Available
34516,1.81,3.12,8.1,Not Available,5.25,68.7,2.77,23.9,Not Available,2.27,Not Available
34547,1.83,3.15,8.22,Not Available,5.31,72.6,2.67,23.5,Not Available,2.16,Not Available
34578,1.78,2.92,7.84,Not Available,5.36,72.2,2.55,22,Not Available,2,Not Available
